Name,Platform,Year_of_Release,Type_of_Game,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15,4.89,0.24,21.81,61,45,6.3,106,Good Science Studio,Average
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,14.73,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games",Good
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,14.61,87,89,6.3,1454,Treyarch,Good
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,13.79,83,21,5.3,922,Treyarch,Good
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,13.67,83,73,4.8,2256,Treyarch,Good
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,13.47,94,100,6.3,2698,Infinity Ward,Good
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,13.32,88,39,3.2,5234,"Infinity Ward, Sledgehammer Games",Good
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,12.63,88,58,6.4,1094,Treyarch,Good
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,12.12,94,86,7.8,4100,"Bungie Software, Bungie",Good
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,10.6,94,67,6.3,2073,Infinity Ward,Good
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,10.25,73,29,2.6,2117,Infinity Ward,Good
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,9.86,91,99,7.9,2045,Bungie,Good
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,9.71,87,87,7,3260,343 Industries,Good
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,9.36,71,10,2.6,1047,Infinity Ward,Good
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,9.31,94,70,8.4,1320,Infinity Ward,Good
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,8.49,95,91,8.2,1218,Bungie Software,Good
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0,8.01,86,75,7.6,886,The Sims Studio,Below Average
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,7.66,83,39,5.7,1443,Sledgehammer Games,Good
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0,7.38,84,84,7.6,580,Treyarch,Good
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,7.32,84,57,7.4,2142,EA DICE,Good
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,7.17,85,38,7.5,1761,EA DICE,Good
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,6.75,93,90,7.7,2739,Epic Games,Good
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,6.68,94,44,8.4,993,Infinity Ward,Good
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,6.34,83,94,7.1,1163,"Bungie Software, Bungie",Good
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,6.21,91,96,7.8,1504,Epic Games,Good
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,6.09,94,88,8.3,2295,Epic Games,Good
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,5.82,95,85,6.8,5311,"SCE/WWS, Media Molecule",Average
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,5.64,76,95,6.1,5380,"Bungie Software, Bungie",Below Average
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0,5.39,85,45,7.6,409,Treyarch,Good
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,5.38,93,113,7.9,7064,Naughty Dog,Below Average
Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0,5.12,92,69,8.5,112,Harmonix Music Systems,Below Average
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,4.98,82,24,8.2,46,"Neversoft Entertainment, BudCat",Below Average
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0,4.84,93,82,8.2,3052,Blizzard Entertainment,Below Average
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.91,0.01,4.53,85,69,7.9,165,Neversoft Entertainment,Below Average
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2,0.15,4.46,77,82,3.4,1129,Infinity Ward,Good
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1.56,1.93,0.19,4.36,,,4.8,207,High Moon Studios,Good
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,4.34,86,70,8.1,715,Insomniac Games,Good
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2.77,1.11,0,4.29,,,4.9,221,High Moon Studios,Good
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.1,2.15,0.21,4.08,88,31,8.4,809,EA DICE,Good
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.13,2.18,0.1,4.04,85,83,7.7,1653,Ubisoft Montreal,Good
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,2.08,1.35,0,3.98,61,21,tbd,,Digital Eclipse,Excelent
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.87,0.05,3.97,89,76,8.6,681,Valve Software,Good
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.78,1.43,0.05,3.83,78,49,3.7,1564,Infinity Ward,Good
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.35,1.7,0.15,3.8,80,64,7,2219,Massive Entertainment,Good
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,1.93,1.22,0.03,3.61,82,36,8.7,142,Pandemic Studios,Below Average
Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.35,1.55,0.17,3.59,85,18,6.9,1580,EA DICE,Good
Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,2.18,1.02,0.03,3.59,84,30,9,268,Pandemic Studios,Below Average
Left 4 Dead,X360,2008,Shooter,Electronic Arts,2.66,0.49,0.05,3.51,89,67,7.9,1309,Certain Affinity,Good
Battlefield 4,PS3,2013,Shooter,Electronic Arts,1.3,1.42,0.27,3.49,80,14,5.8,579,EA DICE,Good
Battlefield 4,X360,2013,Shooter,Electronic Arts,2.15,1.01,0.02,3.48,79,21,5.6,542,EA DICE,Good
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,2.1,1.01,0.04,3.47,88,75,8.6,869,EA DICE,Good
Borderlands,X360,2009,Shooter,Take-Two Interactive,2.4,0.71,0.03,3.44,84,83,8.2,715,Gearbox Software,Good
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,1.83,1.05,0.06,3.39,91,86,8.4,657,Media Molecule,Average
Far Cry 3,PS3,2012,Shooter,Ubisoft,0.88,1.7,0.1,3.35,90,32,8.5,1041,Ubisoft Montreal,Good
Dance Central,X360,2010,Misc,MTV Games,2.15,0.76,0.01,3.17,82,63,7.6,85,Harmonix Music Systems,Below Average
Resident Evil 6,PS3,2012,Shooter,Capcom,0.88,0.94,0.88,3.1,74,34,5.4,1304,Capcom,Good
The Sims 4,PC,2014,Simulation,Electronic Arts,1,1.82,0,3.05,70,74,3.9,2057,Maxis,Below Average
Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1.89,0.88,0.04,3.05,89,59,8.2,892,Gearbox Software,Good
Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,1.4,1.06,0.08,3.01,91,94,8.1,1505,Guerrilla,Good
Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.32,0.02,3,91,39,8.6,1247,Ubisoft Montreal,Good
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.33,1.1,0.08,2.95,88,59,8.5,572,EA DICE,Good
Sonic Mega Collection Plus,PS2,2004,Misc,Sega,1.54,1.14,0,2.9,73,21,8.6,30,Sonic Team,Average
Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,1.51,1.12,0.01,2.89,76,49,7.7,69,Spark Unlimited,Below Average
BioShock,X360,2007,Shooter,Take-Two Interactive,1.65,0.85,0.05,2.83,96,88,8.9,2249,"Irrational Games, 2K Marin",Good
Medal of Honor,PS3,2010,Shooter,Electronic Arts,1.28,1.04,0.07,2.81,75,56,7.5,286,"EA DICE, Danger Close",Good
Battlefield 3,PC,2011,Shooter,Electronic Arts,0.89,1.43,0,2.78,89,61,7.5,4926,EA DICE,Good
Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,1.45,0.86,0.09,2.77,84,85,7.9,942,Guerrilla,Good
Call of Duty 3,X360,2006,Shooter,Activision,1.49,0.92,0.02,2.7,82,71,6.5,233,Treyarch,Below Average
Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,0.89,1.33,0.08,2.69,73,88,6.8,2102,Guerrilla,Good
Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision,1.48,0.92,0.01,2.67,77,39,8.2,69,Treyarch,Below Average
Guitar Hero: World Tour,X360,2008,Misc,Activision,1.78,0.63,0,2.66,85,67,6.3,171,Neversoft Entertainment,Below Average
